IAST,Romanized Spelling,,,
abhaṅgas,abhangas,,,
ābharaṇam,abharanam,,,
abhaya-mudrā,abhaya-mudra ,,,
abhaya-pradānam,abhaya-pradanam,,,
abhayahasta,abhayahasta,,,
Abhimanyu,Abhimanyu,,,
abhiṣeka(m),abhishek(am),,,
ābīram,abiram,,,
ācamanīyam,acamaniyam,added 12.12.23,,
ācārya,acharya,,,
acetanā,achetana,,,
Acintya-bhedābheda,Acintya-bhedabheda,added 18.04.24,,
acit,achit,,,
Acyuta,Achyuta,,,
ādeśa,adesha,,,
ādhāra,adhara,,,
adharma,adharma,,,
ādheya,adheya,,,
adhibhautika,adhibhautika,,,
adhibhū̄ta,adhibhuta,,,
adhidaiva,adhidaiva,,,
adhidaivata,adhidaivata,,,
adhidaivika,adhidaivika,,,
adhikārī ,adhikari,,,
adhiyajña,adhiyajna,,,
adhyātma,adhyatma,,,
adhyātmika,adhyatmika,,,
Ādi Jagadambā,Adi Jagadamba,,,
"Ādi Śaṅkarācārya, Śrī","Adi Shankaracharya, Sri",,,
Ādi-Lakṣmī,Adi-Lakshmi,added 31.01.24,,
Ādi-puruṣaṁ,Adi-purusham,,,
Ādi-śakti,Adishakti,,,
Ādi-Sundarī,Adi-Sundari,,,
Ādiśeṣa,Adishesha,,,
Aditi,Aditi,,,
Ādityas,Adityas,,,
Advaita,Advaita,,,
Advaita Vedānta,Advaita Vedanta,,,
advaita-vāda,advaita-vada,added 12.02.24,,
advaita-vādī,advaita-vadi,added 07.10.23,,
"Advaitācārya, Śrī","Advaitacharya, Sri",,,
advaitīs,advaitis,added 12.02.24,,
Advaitists,Advaitists,,,
Āgama-śāstra,Agama-shastra,,,
Āgamas,Agamas,,,
Aghāsura,Aghasura,,,
Agni,Agni,,,
Agnideva,Agnideva ,,,
Āgnidhra,Agnidhra,,,
Agniśvātta,Agnishvatta,,,
ahaṁ brahmāsmi,aham brahmasmi,added anusvāra 09.08.23,,
ahaṅkāra,ahankara,,,
Ahilyā,Ahilya,,,
ahiṁsā ,ahimsa,,,
Āhlādīni,Ahladini,,,
Ahobilaṁ,Ahobilam,,,
āhuti,ahuti,,,
Airāvata,Airavata,,,
aiśvarya,aishwarya,"lowercase 09.09.23, attribute of the Lord",,
Aiśvarya-Lakṣmī,Aishvarya-Lakshmi,added 31.01.24,,
Ajāmila,Ajamila,,,
ajapa-mantra,ajapa-mantra,,,
ājñā-cakra,ajna-chakra,,,
ajñāna-timirāndhasya jñānāñjana-śalākayā | cakṣur-unmīlitaṁ yena tasmai śrī gurave namaḥ ||,ajnana-timirandhasya jnananjana-shalakaya caksur-unmilitam yena tasmai sri gurave namah,added 03.08.23,,
akāra,akara,,,
akarma,akarma,,,
ākāśa,akasha,,,
ākāśavāṇi,akashavani,added ṇ 09.08.23,,
akhāḍā(s),akhara(s),added 04.11.23,,
akhaṇḍa-kīrtana ,akhanda-kirtan,,,
Akrūra,Akrura,,,
akṣara,akshara,,,
Akṣara-brahma-yoga,Akshara-brahma-yoga,,,
akṣata,akshata ,,,
akṣauhiṇī,akshauhini,,,
akṣaya,akshaya,,,
Akṣayapātra,Akshayapatra,capital 15.09.23,,
Ālandī,Alandi,added 09.10.23,,
āḻvār(s),alvar(),lower-case 01.03.24,,
Amala,Amala,,,
Amalān Ādi Pirāṉ,Amalan Adi Piran,,,
Amalatva,Amalatva,,,
amānavatā,amanavata,,,
Ambā(jī),Amba(ji),added 14.09.23,,
Ambarīṣa,Ambarisha ,,,
Ambikā-devī,Ambika-devi,,,
amṛta,amrita,,,
amṛtatva,amritatva,,,
aṁśa,amsha,,,
aṁśāvatāra,amshavatar,,,
Aṁśumāna,Amshumana,,,
anāhata-cakra,anahata-chakra,,,
Anala,Anala,,,
ānanda,ananda,,,
Ānanda,Ananda,,,
Ananta,Ananta,,,
Ananta-śeṣa,Ananta-shesha,,,
Ananta-vijaya,Ananta-vijaya,,,
anantatā,anantata,,,
ananya-bhakti,ananya-bhakti ,,,
Anasūyā,Anasuya,wife of Atri,,
Āṇḍāl,Andal,,,
Andhakas,Andhakas,,,
Andhra Pradesh,Andhra Pradesh,added 18.04.24,,
aṅganyāsam ,anganyasam,,,
Aṅgiras,Angiras,,,
Aṅgulimāla,Angulimala,,,
Aniruddha,Aniruddha,,,
"Annamācārya, Śrī","Annamacharya, Sri",,,
antaḥkaraṇa,antahkarana,,,
antara-darśana,antar-darshan,added 18.05.24,,
antara-jyoti,antara-jyoti,,,
antara-pūjā,antara-puja,,,
Antarātmā,Antaratma,,,
Antaryāmī,Antaryami,,,
ānukūlya-saṅkalpa,anukulya-sankalpah,added 11.04.24,,
anumāna,anumana,added 07.10.23,,
anurāga-prema,anuraga-prema,,,
anyāya,anyaya,,,
apāna ,apana,,,
aparā,apara,,,
aparā-prakṛti,apara-prakriti,,,
aparādha,aparadha,,,
apsarā(s),apsara(s),updated 24.10.23,,
āpta,apta,added 07.10.23,,
ārādhya ,aradhya,added 24.12.25,,
araṇya,aranya,,,
Āraṇya-kāṇḍa,Aranya-kanda,,,
Araṇyaka-parva,Aranyaka-parva,added 06.06.24,,
Āraṇyakas,Aranyakas,,,
āratī ,arati,,,
Arcā,Archa,,,
arcana-bhakti,archana-bhakti,,,
Ardhanārīśvara,Ardhanarishwara,,,
arghyam,arghyam,,,
Ariṣṭāsura,Arishtasura,,,
Arjuna,Arjuna,,,
Arjuna-viśāda-yoga,Arjuna-vishada-yoga,,,
ārta,arta,,,
artha,artha,,,
arthārthi,artharthi,,,
Aruṇi,Aruni,,,
Aryamā,Aryama,,,
āsana,asana,,,
Asita,Asita,,,
āśrama(s),ashram(s),,,
aṣṭa-dik,ashta-dik,added 03.06.23,,
Aṣṭa-Lakṣmī,Ashta-Lakshmi,added 25.01.24,,
aṣṭākṣara,ashtakshara,,,
aṣṭākṣara-mantra,ashtakshara-mantra,,,
aṣṭāṅga-yoga,ashtanga-yoga,,,
Aṣṭavinayaka ,Ashtavinayaka,added 24.12.25,,
asteya,asteya,,,
Asti,Asti,,,
āstika,astika,,,
aṣṭotram,ashtotram,,,
aṣṭottara-śata-nāmāvali,ashtottara-shata namavali,,,
āstra,astra,,,
asura(s),asura(s),"lowercase, italics 06.10.23",,
Āsuri Keśavācārya,Asuri Keshavacharya,,,
asuric,asuric,,,
aśvamedha-yajña,ashvamedha-yajna,,,
Āśvattha,Ashwattha,,,
Aśvatthāmā,Ashwatthama,,,
Aśvin-kumāras,Ashwin-kumaras,,,
Atharva Veda,Atharva Veda,,,
ātmā,atma,,,
Atma Kriya Yoga,Atma Kriya Yoga,,,
Atma Kriya Yogi,Atma Kriya Yogi,,,
ātma-cakra,atma-chakra,,,
ātma-jñāna,atma-jnana,,,
ātma-nikṣepa,atma-nikshepa,added 11.04.24,,
ātma-tattva,atma-tattva,,,
ātmanivedana-bhakti,atmanivedana-bhakti,,,
ātmānubhava,atma-anubhava,,,
Atri,Atri,,,
Avadhī,Avadhi,,,
avadhūta,avadhuta,,,
āvāhayāmi,avahayami,,,
avahita-mudrā ,avahita-mudra,,,
avakunthita-mudrā,avakunthita-mudra,,,
āvaraṇa,avarana,,,
avasthā,avastha,,,
avatāra(s),avatar(s),,,
avatārī,avatari,added 21.05.24,,
avidyā,avidya,,,
Avijñāta,Avijnata,,,
avyabhicāriṇī-bhakti,avyabhicharini-bhakti,,,
ayam ātmā brahma,ayam atma brahma,,,
Ayodhyā,Ayodhya,,,
Āyurveda,Ayurveda,,,
Bābājī,Babaji,,,
Bādarāyaṇa,Badarayana,,,
baddha,baddha,,,
baddha-jīva,baddha-jiva,,,
Badrī-viśāl,Badri-vishal,,,
Badrīnāth,Badrinath,,,
Bageśvara,Bageshwara,,,
Bahlika,Bahlika,,,
Bakāsura,Bakasura,,,
bala,bala,"lowercase 09.09.23, attribute of the Lord",,
bāla,bala,,,
Bāla-Gopāla,Bala-Gopala,,,
Bāla-kāṇḍa,Bala-kanda,,,
Bāla-Kṛṣṇa,Bala Krishna,,,
Bāla-līlā,Bala-lila,,,
bāla-svarūpa,bala-svarūpa,added 20.10.23,,
Bālājī,Balaji,,,
Balarāma,Balarama,,,
Bali,Bali,,,
Bali Māhāraja,Bali Maharaja,,,
"Bāḻūmāmā Mahārāja, Śrī","Balumama Maharaja, Sri",,,
Bāṅke Bihārī,Banke Bihari,,,
bānsurī,bansuri,changed to ī 12.06.23,,
Barbarīka,Barbarika,,,
Barhiṣat,Barhishat,,,
besan laḍḍū,besan laddu,,,
Bhadrācalam,Bhadrachalam,added 07.06.23,,
Bhadrakālī,Bhadrakali,,,
bhaga,bhaga,,,
Bhagavad Gītā,Bhagavad Gita,,,
Bhagavān,Bhagavan,,,
Bhagavat-prema,Bhagavat-prema,added 17.01.25,,
Bhāgavata Purāṇa,Bhagavata Purana,,,
Bhāgavata-kathā,Bhagavata-katha,added 25.04.24,,
bhāgavata(s),bhagavata(s),added 23.04.24,synonym of 'bhakta',
Bhāgavatam,Bhagavatam,,,
bhāgavatas,bhagavatas,,,
Bhagavatī,Bhagavati,,,
Bhagīratha,Bhagiratha,,,
Bhairava,Bhairava,,,
Bhairava-pūjā,Bhairava-puja,,,
bhajāmi,bhajami,,,
bhajana,bhajana,,,
bhajana-maṇḍalī,bhajan-mandali,,,
bhajanam,bhajanam,,,
bhajans,bhajans,,,
Bhakta Prahlāda,Bhakta Prahlad,,,
bhakta-vatsala,bhakta-vatsala,"as a description, not as a name",,
Bhakta-vatsala ,Bhakta-vatsala ,,,
bhakta(s),bhakta(s),,,
bhakti ,bhakti,,,
Bhakti Marga,Bhakti Marga,as organisation,,
bhakti path,bhakti path,,,
bhakti-mārga,bhakti-marga,as 'path of devotion',,
bhakti-yoga,bhakti-yoga,as 'yoga of devotion',,
Bhakti-yoga,Bhakti-yoga,as chapter in the Bhagavad Gītā,,
bhakti-yogī,bhakti-yogi,,,
Bhānu,Bhanu,,,
Bharadvāja-gotra,Bharadwaja-gotra,,,
"Bharadvāja, Śrī","Bharadwaja, Sri",,,
Bharata,Bharata,,,
Bhāṣyācārya,Bhashyacharya,,,
Bhaumāsura,Bhaumasura,,,
bhāva,bhava,,,
bhikṣā,bhiksha,added 23.04.24,,
Bhīma,Bhima,,,
Bhīṣma,Bhishma,,,
Bhīṣma-parva,Bhishma-parva,,,
Bhīṣma-pitā,Bhishma-pita,,,
Bhīṣmaka,Bhishmaka,,,
bhoga,bhoga,,,
bhoga-āratī ,bhoga-arati ,,,
Bhogavatī ,Bhogavati ,,,
Bholānātha,Bholanatha,,,
Bhṛgu,Bhrigu,,,
Bhṛgu-pāda,Bhrigu-padam,,,
"Bhṛgu, Ṛṣi","Bhrigu, Rishi",,,
Bhū-devī,Bhu-devi,,,
Bhū-devī Yajña,Bhu-devi Yajna,as event name,,
Bhū-devī-yajña,Bhu-devi-yajna,,,
Bhūloka,Bhuloka ,,,
Bhūmi-devī,Bhumi-devi,,,
Bhūmi-kāṇḍa,Bhumi-kanda,,,
Bhūmi-sparśa,Bhumi-sparsha,,,
Bhūmisuta,Bhumisuta,,,
Bhutabhrteshwarnath Temple,Bhutabhrteshwarnath Temple,,,
Bhūtabhṛteśvarnātha,Bhutabhrteshwarnath,,,
bhūtala ,bhutala,added 26.09.23,,
Bhūtapurī,Bhutapuri,,,
bīja,bija,,,
bīja-mantra,bija-mantra,,,
bilva,bilva,,,
Bilvamaṅgala,Bilvamangala,,,
bindu,bindu,,,
Bodhāyana-vṛtti,Bodhayana-vritti,,,
bodhisattva,bodhisattva,,,
Brahmā,Brahma,,,
Brahmā Purāṇa,Brahma Purana,,,
Brahma Sampradāya,Brahma Sampradaya,,,
Brahma-jñāna,Brahma-jnana,11.06.24 corrected from Brahma-,,
Brahma-jñāni,Brahma-jnani,11.06.24 corrected from Brahma-,,
Brahma-muhūrta,Brahma-muhurta,11.06.24 corrected from Brahma-,,
Brahma-nāḍi,Brahma-nadi,,,
Brahma-patni,Brahma-patni,,,
Brahma-randhra,Brahma-randhra,,,
Brahma-saṁhitā,Brahma-samhita,,,
Brahma-sūtra,Brahma-sutra,not 'Brahma-sūtras',,
Brahma-vidyā,Brahma-vidya,,,
brahmacārī,brahmachari(s),,,
Brahmacārī Initiation ,Brahmachari Initiation,,,
brahmacāriṇī,brahmacharini(s),,,
brahmacārya,brahmacharya,12.06.24 updated,,
Brahmāloka,Brahmaloka,,,
Brahman,Brahman,,,
brāhmaṇa(s),brahmana(s),,,
Brahmāṇḍa Purāṇa,Brahmanda Purana,,,
brahmarṣi(s),brahmarshi(s),added 12.12.23,,
Brahmāstra,Brahmastra,,,
brāhmī-sthiti,brahmi-sthiti,,,
Bṛhad-āraṇyaka Upaniṣad,Brihad-aranyaka Upanishad ,,,
Bṛhannala,Brihannala,,,
Bṛhaspati,Brihaspati,,,
Bṛhat-sāma,Brihat-sama,,,
Buddha,Buddha,,, 
buddhi,buddhi,,,
"Caitanya Mahāprabhu, Śrī","Chaitanya Mahaprabhu, Sri",,,
"Caitanya-caritāmṛta, Śrī","Chaitanya-charitamrita, Sri",,,
Caitra,Chaitra,,,
cakra,chakra,as energetic point in the subtle body,,
Cakra,Chakra ,as weapon of the Lord,,
cakra(s),chakra(s),,,
cakravyūha,chakravyuha,,,
cālīsā,chalisa,,,
Canda,Chanda,,,
candana,chandan,,,
candanam,chandanam,,,
Caṇḍī-pāṭha,Chandi-patha,,,
Candra,Chandra,,,
candra-maṇḍala,candra-mandala,added 03.07.24,,
Candra-namaskāra,Chandra-namaskara,,,
Candrabhāgā,Candrabhaga,added 01.05.24,,
Candraghaṇṭā,Chandraghanta,,,
Cānūra,Chanura,,,
Carama-śloka,Charama-shloka,,,
Cāraṇa(s) ,Charana(s) ,,,
caraṇāmṛta,charanamrita,,,
catur-guṇa,chatur-guna,,,
catur-varṇa,chatur-varna,,,
catur-varṇyam,chatur-varnyam,,,
catur-yugas,chatur-yugas,,,
caturaṅga,chaturanga,,,
Caturāśrama,Chaturashrama,,,
Caturbhuja,Chaturbhuja,,,
Caturdaśī,Chaturdashi ,,,
Cāturmāsya,Caturmasya,added 03.08.23,,
Cekitāna,Chekitana,,,
Chandas,Chandas,added 18.04.24,one of the Vedāṅgas,
Chāndogya Upaniṣad,Chandogya Upanishad,added 18.01.24,,
cīna-mudrā,china-mudra,,,
Cintāmaṇi,Chintamani,,,
cit,chit,,,
Citragupta,Chitragupta,,,
Citraratha,Chitraratha,,,
Cokhāmelā,Chokhamela,,,
dadhi,dadhi,,,
Dadhīci,Dadhichi,,,
Daitya(s),Daitya(s) ,,,
Daivāsura-sampad-vibhāga-yoga,Daivasura-sampad-vibhaga-yoga,,,
daivi-sampad,daivi-sampad,,,
Dakṣa,Daksha,,,
dakṣiṇā,dakshina,,,
Dakṣiṇāmūrti,Dakshinamurti,,,
Dakṣiṇāyana ,Dakshinayana ,,,
Dakṣiṇeśvara,Dakshineshwar,,,
dalita(s),dalit(s),,,
dama,dama,,,
Dāmāśeṭ,Damashet,added 22.05.24,father of Nāmdev,
Dāmodara-kuṇḍa,Damodara-kunda,,,
Dāmodara-līlā,Damodara-lila,,,
dāna,dana,,,
Daṇḍaka,Dandaka,,,
Dantavakra,Dantavakra,,,
darśana,darshana,30.05 changed from darśan,,
darśanas,darshanas,philosophical systems ,,
Darshan,Darshan,as a BM event,,
Darshan Hall,Darshan Hall,,,
Dāruka,Daruka,,,
Dāsa,Das,,,
Daśamī,Dashami,,,
Daśanāmī,Dashanami,added 23.12.25,,
Daśaratha,Dasharatha,,,
Daśāvatāra,Dashavatar,,,
Daśāvatāra-stotra,Dashavatara-stotra,,,
Dāsī,Dasi,,,
dāsya,dasya,,,
dāsya-bhakti,dasya-bhakti,,,
dāsya-bhāva ,dasya-bhava,,,
Dattātreya,Dattatreya,,,
deva,deva,,,
Devadatta,Devadatta,,,
Devādi-deva,Devadi-deva,,,
Devahūtī,Devahuti,,,
Devakī,Devaki,,,
Devala,Devala,,,
Devanāgarī,Devanagari,,,
devas,devas,"lowercase, italics 06.10.23",,
Deveśa,Devesha,,,
Devī,Devi ,,,
Devī Bhāgavatam,Devi Bhagavatam,added 09.10.23,,
Devī-āvāhanam,Devi-avahanam,,,
Devī-māhātmyam,Devi-mahatmyam,,,
Devī-tripura-śrī,Devi-tripura-sri,,,
dhāma,dham,added -a 14.09.23,,
Dhana-Lakṣmī,Dhana-Lakshmi,added 31.01.24,,
Dhanaterasa,Dhanteras,,,
Dhanvantari,Dhanvantari,,,
Dhanya-Lakṣmī,Dhanya-Lakshmi,added 31.01.24,,
dhāraṇā,dharana ,,,
dharma,dharma,,,
dharma-bhumi,dharma-bhumi,,,
dharma-bhūta-jñāna,dharma-bhuta-jnana,,,
Dharma-śāstras,Dharma-shastras,,,
dharmakṣetra,dharmakshetra,,,
Dharmarāja,Dharmaraja,,,
Dharmasetu,Dharmasetu,,,
dharmi-jñāna,dharmi-jnana,,,
Dhātā,Dhata,,,
Dhenukāsura,Dhenukasura,,,
dhoti ,dhoti,,,
Dhṛṣṭadyumna,Dhrishtadyumna,,,
Dhṛṣṭaketu,Dhrishtaketu,,,
Dhṛtarāṣṭra,Dhritarashtra,,,
Dhruva,Dhruva,,,
Dhruva-nakṣatra,Dhruva-nakshatra,,,
Dhruvaloka,Dhruvaloka,,,
dhūpam,dhupam,,,
dhyāna,dhyana,,,
dhyāna-mudrā,dhyana-mudra,,,
dhyāna-śloka,dhyana-shloka,,,
dhyāna-yoga,dhyana-yoga,,,
dhyāyāmi,dhyayami,,,
digrakṣanam,digrakshanam,,,
dīkṣā,diksha,,,
dīkṣā-guru,diksha-guru,,,
Dīna-bandhu,Dina-bandhu,,,
Dīna-dayāla,Dina-dayala,,,
dīpam,dipam,,,
Diti,Diti,,,
Dīvālī,Diwali,,,
Divya Prabandham,Divya Prabandham,removed hyphen 11.02.24,,
divya-deśa(m),divya-desha(m),added 23.04.24,,
divya-dṛṣṭi,divya-drishti,,,
Draupadī,Draupadi,,,
Draupadī-vastraharaṇa,Draupadi-vastraharana,,,
dravyam,dravyam,,,
Droṇa,Drona,,,
Droṇācārya,Dronacharya,,,
dṛṣṭa-śakti,drishta-shakti,,,
dṛṣṭi,drishti,,,
Drupada,Drupada,,,
duḥkhālayam,dukhalayam,added 21.08.23,,
Duḥkhi Kṛṣṇa,Duhkhi Krishna,,,
Duḥśāsana,Duhshasana,,,
Durgā,Durga,,,
Durgā-cālīsā,Durga-chalisa,,,
Durgā-devī,Durga-devi,,,
Durgā-saptaśatī,Durga-saptashati,,,
Durvāsa,Durvasa,,,
Duryodhana,Duryodhana,,,
Dussehra,Dussehra,,,
Dvaipāyana,Dwaipayana ,,,
Dvaita,Dvaita,,,
Dvaitādvaita,Dvaitādvaita,,,
Dvāpara-yuga,Dwapara-yuga,,,
Dvārakā,Dwarka,,,
Dvārakā-śilā(s),Dwarka-shila,,,
Dvaravatī-śilā,Dvaravati-shila,added 06.08.23,,
dvaya-mantra,dvaya-mantra,,,
Ekādaśī,Ekadashi,,,
Ekalavya,Ekalavya,,,
ekaṁ sad viprā bahudhā vadanti,ekam sad vipra bahudha vadanti,added 05.09.23,,
Eknāth Mahārāja ,Eknath Maharaja ,added 12.12.23,,
Gadā,Gada,,,
Gaja-Lakṣmī,Gaja-Lakshmi,added 31.01.24,,
Gajendra,Gajendra,,,
Gajendra-mokṣa,Gajendra-moksha,,,
Gaṇapati,Ganapati,,,
Gāṇapatya,Ganapatya,,,
Gaṇḍakī,Gandaki,,,
Gāndhāri,Gandhari,,,
Gandharvas,Gandharvas,,,
Gandhi,Gandhi,,,
Gāṇḍīva,Gandiva,,,
Gaṇeśa,Ganesha,,,
Gaṇeśa Caturthī,Ganesha Chaturthi ,,,
Gaṇeśa-pūjā,Ganesha-puja,,,
Gaṅgā,Ganga,,,
Gaṅgā-devī,Ganga-devi,,,
Gaṅgā-putra,Ganga-putra,,,
Garbhodaka,Garbhodaka,added 03.08.23,,
Garga Muni,Garga Muni,-muni to Muni 25.07.23,,
Garga Ṛṣi ,Garga Rishi,added 14.09.23,,
Garuḍa,Garuda,,,
Garuḍa Purāṇa,Garuda Purana,,,
Gau-Mātā,Gau-Mata,,,
Gauḍīya Sampradāya,Gaudiya Sampradaya,,,
Gauḍīya Vaiṣṇava,Gaudiya Vaishnava,,,
Gauḍīya Vaiṣṇavism,Gaudiya Vaishnavism,,,
Gauḍīyas,Gaudiyas,,,
gauṇa (āveśa)-avatāra,gauna (avesha)-avatar,,,
Gaura-Nitāi ,Gaura-Nitai ,,,
Gaurāṅga,Gauranga,,,
Gaurī,Gauri,,,
Gaurī-Śaṅkara,Gauri-Shankara,,,
Gautama,Gautama,,,
Gayā,Gaya,added 25.04.24,city in Bihār,
Gāyatrī,Gayatri,,,
Gāyatrī Yajña,Gayatri Yajna,as event name,,
Gāyatrī-devī,Gayatri-devi,,,
Gāyatrī-mantra(s),Gayatri-mantra(s),,,
Gāyatrī-mudrās,Gayatri-mudras,,,
Gāyatrī-yajña,Gayatri-yajna,,,
ghāṭ,ghat,(Hindi) added 09.10.23,,
ghī ,ghee,,,
ghṛta,ghrita,,,
Giridhāra Gopāla,Giridhara Gopala,added 14.09.23,,
Giridhārī(jī),Giridhari(ji),,,
Girirāja,Giriraja ,,,
Gītā,Gita,,,
Gītā-bhāṣya,Gita-bhashya,,,
Gītā-govinda,Gita-govinda,,,
Godāgraja,Godagraja,,,
Godāvarī,Godavari ,,,
Gokula,Gokul,added -a 07.09.23,,
Goloka,Goloka,,,
Gomatī-śilā,Gomati-shila,added 06.08.23,,
Goṇāī,Gonai,added 22.05.24,mother of Nāmdev,
Gopāla,Gopala,,,
"Gopāla Bhaṭṭa Gosvāmī, Śrī","Gopala Bhatta Goswami, Sri",,,
